1,Quelle est la principale cause d'un écran bleu de la mort (BSOD) ?,Problèmes de mémoire,Virus informatique,Surcharge du processeur,1,Informatique-Ordinateur
2,Quel composant est responsable du stockage permanent des données sur un ordinateur ?,Disque dur,Mémoire RAM,Processeur,1,Informatique-Ordinateur
3,Quel outil est utilisé pour tester la connectivité réseau ?,Ping,Traceroute,FTP,1,Informatique-Ordinateur
4,Quel est le rôle d'un BIOS sur une carte mère ?,Initialiser le matériel,Exécuter le système d'exploitation,Contrôler la mémoire RAM,1,Informatique-Ordinateur
5,Quel est le meilleur moyen de nettoyer l'intérieur d'un ordinateur portable ?,Utiliser de l'air comprimé,Utiliser un chiffon humide,Utiliser un aspirateur à main,1,Informatique-Ordinateur
6,Quel type de câble est utilisé pour connecter un ordinateur à un réseau local (LAN) ?,Câble Ethernet,Câble HDMI,Câble USB,1,Informatique-Ordinateur
7,Quelle est la fonction principale d'un pare-feu ?,Contrôler le trafic réseau,Accélérer les connexions Internet,Gérer les mots de passe,1,Informatique-Ordinateur
8,Quel est le rôle d'une carte graphique dans un ordinateur ?,Gérer les affichages graphiques,Stocker les données,Contrôler la mémoire vive,1,Informatique-Ordinateur
9,Quelle est la première étape pour résoudre un problème matériel sur un ordinateur ?,Identifier le problème,Redémarrer l'ordinateur,Vérifier les câbles,1,Informatique-Ordinateur
10,Qu'est-ce qu'un système d'exploitation ?,Logiciel qui gère les ressources d'un ordinateur,Composant matériel d'un ordinateur,Programme antivirus,1,Informatique-Ordinateur
11,Quel est le rôle d'une alimentation électrique dans un ordinateur ?,Fournir de l'énergie aux composants,Stocker les données,Contrôler les ventilateurs,1,Informatique-Ordinateur
12,Qu'est-ce qu'un logiciel malveillant ?,Logiciel conçu pour endommager un ordinateur,Logiciel de sauvegarde,Logiciel de traitement de texte,1,Informatique-Ordinateur
13,Qu'est-ce qu'un réseau local (LAN) ?,Un réseau limité à une zone géographique restreinte,Un réseau étendu (WAN),Une connexion Internet câblée,1,Informatique-Ordinateur
14,Quelle est la fonction principale d'un disque dur dans un ordinateur ?,Stocker les données à long terme,Exécuter les programmes,Contrôler la mémoire vive,1,Informatique-Ordinateur
15,Qu'est-ce qu'un périphérique d'entrée ?,Un périphérique qui envoie des données à l'ordinateur,Un périphérique qui affiche des données,Un périphérique de stockage,1,Informatique-Ordinateur
16,Qu'est-ce qu'un serveur dans un réseau informatique ?,Un ordinateur qui fournit des services à d'autres ordinateurs,Un logiciel de sécurité,Un câble de connexion réseau,1,Informatique-Ordinateur
17,Qu'est-ce qu'un protocole IP ?,Protocole de communication Internet,Protocole de sauvegarde,Protocole de chiffrement,1,Informatique-Ordinateur
18,Quel est le meilleur moyen de protéger un ordinateur contre les virus ?,Utiliser un logiciel antivirus,Débrancher l'ordinateur d'Internet,Désactiver les mises à jour,1,Informatique-Ordinateur
19,Quel est le rôle d'un processeur dans un ordinateur ?,Exécuter les instructions et les calculs,Gérer les connexions Internet,Contrôler les ventilateurs,1,Informatique-Ordinateur
20,Quel est le meilleur moyen de protéger ses données personnelles sur un ordinateur ?,Utiliser un mot de passe fort,Partager les données sur les réseaux sociaux,Enregistrer les données sur un disque dur externe,1,Informatique-Ordinateur
21,Quelle est la cause la plus fréquente d'un écran de téléphone qui ne s'allume pas ?,Problème de batterie,Problème de carte mère,Problème d'écran,3,Informatique-Telephone
22,Quel composant est responsable de la transmission des signaux sans fil dans un téléphone ?,Processeur,Antenne,Caméra,2,Informatique-Telephone
23,Quel outil est généralement utilisé pour ouvrir un téléphone lors d'une réparation ?,Tournevis cruciforme,Pincettes,Ventouse,1,Informatique-Telephone
24,Qu'est-ce qu'un "bootloop" dans le contexte d'un téléphone ?,Un problème de démarrage récurrent,Un écran tactile défectueux,Un câble de charge endommagé,1,Informatique-Telephone
25,Quel est le composant responsable du rétroéclairage de l'écran d'un téléphone ?,Résistance,Condensateur,Rétroéclairage LED,3,Informatique-Telephone
26,Qu'est-ce qu'un "IMEI" dans un téléphone ?,Un code de sécurité pour l'accès aux données,Un identifiant unique du téléphone,Un protocole de communication sans fil,2,Informatique-Telephone
27,Quel est le composant principal responsable du stockage des données dans un téléphone ?,Mémoire RAM,Mémoire ROM,Disque dur,2,Informatique-Telephone
28,Quel est le problème le plus courant associé à un connecteur de charge défectueux ?,Incapacité de charger le téléphone,Haut-parleur qui ne fonctionne pas,Écran tactile non réactif,1,Informatique-Telephone
29,Quelle est la méthode la plus courante pour résoudre un téléphone qui surchauffe ?,Remplacement de la batterie,Nettoyage des composants internes,Réinstallation du système d'exploitation,2,Informatique-Telephone
30,Quel est le composant responsable de la conversion du signal audio en son dans un téléphone ?,Microphone,Haut-parleur,Amplificateur audio,2,Informatique-Telephone
31,Quel est le composant responsable de la détection des mouvements dans un téléphone ?,Accéléromètre,Gyroscope,Capteur de luminosité,1,Informatique-Telephone
32,Qu'est-ce qu'une "empreinte digitale" dans le contexte d'un téléphone ?,Un motif de sécurité pour déverrouiller le téléphone,Une marque laissée par le doigt sur l'écran,Un capteur utilisé pour l'identification biométrique,3,Informatique-Telephone
33,Qu'est-ce qu'un "jailbreak" dans le contexte des téléphones Apple ?,Le processus de déverrouillage du réseau cellulaire d'un téléphone,Le processus de déverrouillage des fonctionnalités restreintes par Apple,Le processus de réinitialisation complète d'un téléphone,2,Informatique-Telephone
34,Quel est le composant responsable de la conversion du signal numérique en signal analogique dans un téléphone ?,Processeur,Convertisseur numérique-analogique (CNA),Module de communication sans fil,2,Informatique-Telephone
35,Qu'est-ce qu'un "IMEI" dans un téléphone ?,International Mobile Equipment Identity,Internet Message Exchange Interface,Integrated Mobile Electronic Interface,1,Informatique-Telephone
36,Qu'est-ce qu'un "brick" dans le contexte d'un téléphone ?,Un composant défectueux qui empêche le démarrage du téléphone,Un téléphone qui ne peut plus être utilisé en raison d'un problème logiciel,Un étui de protection rigide pour téléphone,2,Informatique-Telephone
37,Quel est le composant responsable de la conversion de la lumière en signal électrique dans un téléphone ?,Écran tactile,Appareil photo,Capteur de lumière (photocapteur),3,Informatique-Telephone
